红色食品,适宜人群,全部人群
池州学院,主管部门,安徽省人民政府
阿拉伯语,语言标准,古兰经阿拉伯语
阿拉伯语,书写系统,阿拉伯字母
阿拉伯早期宗教,类别,伊斯兰教
辽东学院,属性,省属本科院校
辽东学院,主管部门,辽宁省人民政府
反分裂国家法,适用范围,台湾问题
室内自动消防系统,作用,自动喷水扑救
阿拉法特大寺,别名,乃米拉清真大寺
信息管理,手段,现代信息技术
回首向来萧瑟处,作者,物是我非
回首向来萧瑟处,连载网站,起点中文网
阿拉法特山,别称,阿拉法特平原
天津城建大学,类别,公立大学
天津城建大学,属性,普通高等学校
天津城建大学,校歌,天津城建大学校歌
述职报告,作用,陈述任职情况
述职报告,功用,上级主管部门考核
曼海姆乐派,时期,早期古典时期
曼海姆乐派,地区,德国南部曼海姆
白芽奇兰,属于,乌龙茶类
白芽奇兰,产于,福建省平和县
中国石油大学,校训,惟真惟实
中国石油大学,类别,公立大学
警察与赞美诗,作品名称,警察与赞美诗
警察与赞美诗,文学体裁,短篇小说
阿拉维王朝,别称,谢里夫王朝
计划类公文,重要公文,工作计划
复调音乐,定义,多声部音乐
青岛理工大学,简称,青岛理工
青岛理工大学,类别,公立大学
青岛理工大学,属性,省属重点大学
青岛理工大学,所属地区,中国山东青岛
青岛理工大学,主管部门,山东省人民政府
青岛理工大学,校歌,理工之歌
鸭绿江断桥,气候类型,亚热带季风气候
克伦勃猎犬,中文学名,克伦勃猎犬
克伦勃猎犬,别称,克伦伯猎犬
小泉纯一郎,出生地,神奈川县横须贺市
小泉纯一郎,职业,日本前首相
小泉纯一郎,格言,无信不立
装修知识,软件名称,装修知识
永乐大典,出版时间,明朝永乐五年
永乐大典,装帧,包背装手抄
努赛里耶派,别名,阿拉维派
努赛里耶派,宗教,伊斯兰教
努赛里耶派,节日,基督教圣诞节
天津体育学院,简称,天津体院
天津体育学院,类别,公立大学
天津体育学院,所属地区,中国天津
天津体育学院,主管部门,天津市教育委员会
钻石大世界,类型,钻石交易平台
钻石大世界,特点,具有很高的安全性
钻石大世界,地区,在本地购买
阿力麻里,信仰,伊斯兰教
国际劳动妇女节,节日类型,国际节日
经史子集,类型,古籍分类方法
经史子集,适用于,传统文化典籍
克什米尔问题,内容,克什米尔的归属
地下婴儿乐队,核心人物,高氏兄弟
珀耳塞福涅,神话体系,希腊神话
珀耳塞福涅,所属,奥林匹斯众神
珀耳塞福涅,子女,扎格柔斯
自贡灯会,美称,天下第一灯
天津中医药大学,类别,公立大学
天津中医药大学,知名校友,石学敏等
宽纹虎鲨,中文学名,宽纹虎鲨
宽纹虎鲨,分布区域,西北太平洋海域
拉布拉多猎犬,中文学名,拉布拉多猎犬
拉布拉多猎犬,亚门,脊椎动物亚门
拉布拉多猎犬,亚纲,真兽亚纲
拉布拉多猎犬,亚目,裂脚亚目
狭纹虎鲨,中文学名,狭纹虎鲨
狭纹虎鲨,亚门,脊椎动物亚门
狭纹虎鲨,亚纲,板鳃亚纲
黑腹果蝇,中文学名,黑腹果蝇
黑腹果蝇,别称,黑尾果蝇
黑腹果蝇,亚门,六足亚门
黑腹果蝇,亚纲,有翅亚纲
黑腹果蝇,亚目,芒角亚目
伊斯兰教圣墓,该教创立于,公元七世纪初
伊斯兰教圣墓,创始人,穆罕默德
董事长乐团,代表作品,花光他的钱
唵嘛呢叭咪吽,别名,六字大明咒
唵嘛呢叭咪吽,所属宗教,藏传佛教
巴山夜雨现象,地理位置,重庆北碚缙云山
我的女孩,其它译名,兄妹契约
我的女孩,编剧,洪氏姐妹
葡萄牙水犬,中文学名,葡萄牙水犬
葡萄牙水犬,别称,靠德阿古阿犬
葡萄牙水犬,亚门,脊椎动物亚门
葡萄牙水犬,亚纲,真兽亚纲
葡萄牙水犬,亚目,犬形亚目
葡萄牙水犬,亚种,葡萄牙水犬
阿帕克和卓,本名,阿帕克和卓
颗粒犁头鳐,中文学名,颗粒犁头鳐
福建医科大学,类别,公立大学
千叶纱子,出生地,日本青森县八户市
千叶纱子,唱片公司,华纳唱片
九章算术,性质,第一部数学专著
天津天狮学院,简称,天狮学院
天津天狮学院,类别,民办大学
天津天狮学院,属性,省属本科高校
天津天狮学院,主管部门,天津市教育委员会
切萨皮克湾寻猎犬,中文学名,切萨皮克湾寻猎犬
中国国家地理,主管单位,中国科学院
中国团扇鳐,中文学名,中国团扇鳐
中国团扇鳐,亚门,脊椎动物亚门
中国团扇鳐,亚纲,板鳃亚目
中国团扇鳐,亚目,犁头鳃亚目
萨塞克斯猎犬,中文学名,萨塞克斯猎犬
郑州国华补习学校,隶属,北京国华教育集团
郑州国华补习学校,类别,民办学校
玉龙雪山,所属山系,横断山系
玉龙雪山,走向,南向北纵向排列
河北经贸大学,类别,公立大学
河北经贸大学,属性,省属重点大学
河北经贸大学,所属地区,中国河北石家庄
河北经贸大学,主管部门,河北省人民政府
黑斑双鳍电鳐,中文学名,黑斑双鳍电鳐
清华大学附属中学,简称,清华附中
清华大学附属中学,类别,公立中学
清华大学附属中学,所属地区,中国北京市海淀区
清华大学附属中学,主要奖项,德育先进校
黑线银鲛,中文学名,黑线银鲛
黑线银鲛,亚门,脊索动物亚门
黑线银鲛,亚纲,全头亚纲
黑线银鲛,分布区域,亚洲部分海域
你来自哪颗星,出品公司,金钟学制作公司
路易十六,国籍,法兰西王国
路易十六,民族,法兰西人
路易十六,出生地,巴黎凡尔赛宫
路易十六,职业,法兰西王国国王
路易十六,王室,波旁王朝
路易十六,结局,被推上断头台处死
路易十六,葬处,圣丹尼大教堂
路易十六,前任,路易十五
路易十六,继任者,路易十七
路易十六,儿子,路易十七
北京大学附属中学,所属地区,北京市海淀区
北京大学附属中学,类别,公立中学
斯塔比荷猎犬,中文学名,斯塔比荷猎犬
佛说戒消灾经,翻译人,优婆塞支谦
佛说戒消灾经,国家,吴月支国
五一国际劳动节,节日时间,每年五月一日
五一国际劳动节,节日类型,国际节日
五一国际劳动节,设立机构,第二国际
热带雨林气候,别称,赤道多雨气候
十二星座,宇宙方位,心理层面
金蝶国际,地点,中国深圳
主机租用,客户类型,小型客户
主机租用,类别,托管业务
田野小猎犬,中文学名,田野小猎犬
田野小猎犬,亚门,脊索动物亚门
龙凤宝钗缘,书名,龙凤宝钗缘
龙凤宝钗缘,类别,武侠小说
龙凤宝钗缘,章回,五十二回
北京市第二中学,简称,北京二中
北京市第二中学,所属地区,中国北京
北京市第二中学,类别,公立高中
北京市第二中学,学校属性,北京市高中示范校
纳斯达克,公司名称,纳斯达克
纳斯达克,总部地点,美国纽约州纽约市
纳斯达克,经营范围,证券交易
火奴鲁鲁,所属地区,美国夏威夷州
火奴鲁鲁,气候条件,热带海洋性气候
火奴鲁鲁,机场,檀香山国际机场
中法战争,名称,中法战争
阿萨哈拉宫,地址,科尔多瓦
食虫植物,中文学名,食虫植物
麻疹粘膜斑,别称,麻疹粘膜斑
阿帕克和卓传,书名,阿帕克和卓传
世代交替,特征,规律现象
阿塞拜疆族,语言,阿塞拜疆语
阿塞拜疆族,宗教,伊斯兰教什叶派
威尔士史宾格犬,中文学名,威尔士史宾格犬
威尔士史宾格犬,分布区域,美国等地
预测作用,相关,凭借法律的存在
威玛猎犬,中文学名,威玛猎犬
威玛猎犬,亚门,脊索动物亚门
威玛猎犬,起初用途,追捕大型猎物
非鱼乐队,职业,摇滚乐队
非鱼乐队,经纪公司,恒大音乐有限公司
中国共产党历史,全称,中国共产党历史
中国共产党历史,主角,中国共产党
资产评估,地点,尼德兰的安特卫普
湄公河行动,对白语言,汉语普通话
国立西南联合大学,类别,公立大学
国立西南联合大学,校训,刚毅坚卓
阿舒拉日,类型,伊斯兰传统仪式
阿舒拉日,日期,伊斯兰历正月初十
中国民主促进会,机构性质,党派机关
北京市第五中学,简称,北京五中
北京市第五中学,类别,公办中学
八佛名号经,书名,八佛名号经
八佛名号经,作者,隋天竺三藏
小明斯特兰犬,中文学名,小明斯特兰犬
人权宣言,作者,制宪议会
北京市第十二中学,简称,北京十二中
北京市第十二中学,类别,公立中学
北京市第十二中学,所属地区,北京丰台区
中国人民解放军,成立的标志,发动南昌起义
梦溪笔谈,书名,梦溪笔谈
梦溪笔谈,基本类型,笔记体百科全书
梦溪笔谈,类别,重要古籍
雪纳瑞犬,亚门,脊椎动物亚门
雪纳瑞犬,亚纲,真兽亚纲
雪纳瑞犬,亚目,裂脚亚目
雪纳瑞犬,分布区域,德国等国家
大麻哈鱼,中文学名,大马哈鱼
大麻哈鱼,亚门,脊椎动物亚门
大麻哈鱼,亚纲,辐鳍亚纲
阿西菲叶清真寺,类型,伊斯兰教清真寺
霍去病墓,所属城市,陕西省兴平市
霍去病墓,周边景点,茂陵卫青墓
香港蝴蝶,中文学名,香港蝴蝶
大庆油田,性质,特大型砂岩油田
河北广播电视大学,简称,河北电大
河北广播电视大学,类别,公立大学
阿维森纳,民族,塔吉克人
阿维森纳,信仰,伊斯兰教
白斑狗鱼,中文学名,白斑狗鱼
白斑狗鱼,亚门,脊椎动物亚门
白斑狗鱼,亚纲,真骨下纲
臭氧空洞,发现地点,南极上空
川端康成,出生地,日本大阪
川端康成,毕业院校,东京大学
川端康成,初恋情人,伊藤初代
川端康成,夫人,松林秀子
白雪公主,书名,白雪公主
白雪公主,作者,格林兄弟
白雪公主,类别,欧美民间传说
中国工农红军,所属政权,中华苏维埃共和国
特库姆塞诅咒,主角人物,特库姆塞
反云隙光,本质,大气现象
反云隙光,区别,反曙暮光
阿尤布王朝,语言,阿拉伯语
阿尤布王朝,统治区域,中东大部
湖光岩风景区,所属城市,广东省湛江市
中国史学史,年代范围,从先秦到清朝
华北煤炭医学院,类别,公立大学
华北煤炭医学院,所属地区,河北省唐山市
华北煤炭医学院,主管部门,河北省教育厅
济南外国语学校,所属地区,中国山东省济南市
阿扎里加派,又译,爱萨里格派
月坛公园,所属地区,中国北京市
月坛公园,公园组成,北园和南园
月坛公园,建成年代,明嘉靖九年
托勒密王朝,首都,亚历山大港
托勒密王朝,政治体制,君主专制政体
五一国际劳动节,节日时间,每年五月一日
五一国际劳动节,节日类型,国际节日
五一国际劳动节,设立机构,第二国际
河北建筑工程学院,简称,河北建工学院
河北建筑工程学院,类别,公立大学
河北建筑工程学院,校训,求实进取
阿兹拉伊勒,其他名称,麦莱库勒毛特
一千零一夜,文学体裁,民间故事集
金华酥饼,产地,浙江金华
天外飞仙,制片地区,中国内地
天外飞仙,上星平台,东南卫视
河北体育学院,简称,河北体院
河北体育学院,类别,公办大学
河北体育学院,主管部门,河北省人民政府
新天下集团,公司名称,新天下集团
新天下集团,总部地点,深圳市龙岗区
埃及伊斯兰教,清真寺,阿慕尔清真寺
埃及伊斯兰教,类别,穆斯林逊尼派
埃及瓦克夫条例,书名,埃及瓦克夫条例
埃及九年,作者,庞士谦阿
集合竞价,出现地点,深圳证券交易所
原核生物,呼吸方式,有氧呼吸
互动社区,类别,网络平台
生命的意义,类型,哲学问题
庐山会议,地点,江西庐山
金华府酒,原料,精白糯米
辽宁石油化工大学,类别,公立大学
辽宁石油化工大学,属性,省属重点高校
辽宁石油化工大学,所属地区,辽宁抚顺
辽宁石油化工大学,主管部门,辽宁省人民政府
艾巴德派,隶属,伊斯兰教
指定交易,产生地点,上海证券市场
指定交易,性质,证券交易方式
中华书局,简称,中华书局
股票价格指数,简称,股票指数
道琼斯指数,全称,股票价格平均指数
安徽省宁国中学,所属地区,安徽省宁国
长孙无忌,本名,长孙无忌
长孙无忌,所处时代,隋唐时期
长孙无忌,主要成就,凌烟阁功臣第一位
石家庄铁道大学,类别,公立大学
石家庄铁道大学,属性,省部共建高校
石家庄铁道大学,主管部门,河北省人民政府
深圳综合股票指数,所有挂牌,上市公司为样本
深圳综合股票指数,代表,性非常广泛
珀耳塞福涅,神话体系,希腊神话
珀耳塞福涅,所属,奥林匹斯众神
珀耳塞福涅,子女,扎格柔斯
黄桥烧饼,口味,香酥可口
北部白犀牛,中文学名,北部白犀牛
北部白犀牛,亚门,脊椎动物亚门
北部白犀牛,亚纲,真兽亚纲
北部白犀牛,亚目,角型亚目
丰都鬼城,地理位置,重庆市丰都县
丰都鬼城,气候类型,亚热带季风气候
大唐西域记,书名,大唐西域记
大唐西域记,类别,地理史籍
河北地质大学,校训,达观博物
河北地质大学,所属地区,中国河北石家庄
河北地质大学,类别,公立大学
河北地质大学,学校属性,省属重点大学
河北地质大学,主管部门,河北省人民政府
外部数据传输率,相关,内部数据传输率
持续传输率,条件,单位时间内
中日甲午战争,名称,中日甲午战争
青岛第二中学,简称,青岛二中
眼球经济,类别,经济活动
我和僵尸有个约会,出品公司,香港亚视
我和僵尸有个约会,制片地区,中国香港
我和僵尸有个约会,发行公司,香港亚洲电视
我和僵尸有个约会,其他故事,僵生小说
市场细分,领域,市场营销
市场细分,应用,企业管理
神舟六号飞船,发射地点,酒泉卫星发射中心
神舟六号飞船,所属国家,中华人民共和国
工伤认定办法,目的,规范工伤认定程序
模糊数据库,研究主要,有两方面
广东海洋大学,类别,公立大学
广东海洋大学,属性,省部共建大学
广东海洋大学,所属地区,中国广东湛江
广东海洋大学,主要奖项,国家级二等奖
数据库计算机,属于,专用计算机系统
立克次氏体,中文学名,立克次氏体
立克次氏体,别称,落基山斑疹
巴哈尔古丽,民族,维吾尔族
巴哈尔古丽,出生地,新疆和田
欣欣向荣,解释,形容草木长得茂盛
三言二拍,书名,三言二拍
三言二拍,类别,古代小说
三言二拍,出版社,中国画报出版社
数据库营销,实质,营销推广手段
数据库营销,核心,数据挖掘
青岛第二中学,简称,青岛二中
武汉工程大学,类别,公立大学
武汉工程大学,招生批次,本科第一批次
公共心理卫生,场所,公共场所
公共心理卫生,环境,无形的环境
营销组织,本质,信息沟通问题等
北宋皇陵,气候类型,温带季风气候
北宋皇陵,类别,露天艺术博物馆
北宋皇陵,所属城市,河南省巩义市
画蛇添足,作品名称,画蛇添足
画蛇添足,歇后语,多此一举
人文关怀,提出地点,中共十七大报告
美国独立战争,名称,美国独立战争
美国独立战争,转折战役,萨拉托加战役
美国独立战争,重大战役,约克镇战役
晨昏蒙影,性质,天气现象
晨昏蒙影,出现时间,日出前和日出后
晨昏蒙影,原因,大气散射
多屏显示,应用,当今图形图像应用
棕色野生七彩,中文学名,棕色野生七彩
棕色野生七彩,亚门,脊椎动物亚门
棕色野生七彩,亚纲,辐鳍亚纲
棕色野生七彩,亚目,隆头鱼亚目
模拟精灵,软件名称,模拟精灵
模拟精灵,软件平台,微软系统
模拟精灵,软件授权,免费软件
黑面琵鹭,中文学名,黑脸琵鹭
短吻鱼畐,食物,海底泥中的昆虫
短吻鱼畐,类别,竹筴鱼的同类
短吻鱼畐,特点,口下方有突起
今天开始做魔王,导演,西村纯二
今天开始做魔王,网络播放,腾讯视频
今天开始做魔王,主角,涉谷有利
百度音乐,类型,免费音乐服务
百度音乐,原名,千千静听
望其项背,近义词,望其肩项
古核细胞,中文学名,古核细胞
北海银滩,地理位置,广西北海
小嘴狐猴,中文学名,小嘴狐猴
小嘴狐猴,亚门,脊椎动物亚门
小嘴狐猴,亚目,原猴亚目
小嘴狐猴,亚科,狐猴亚科
小嘴狐猴,分布区域,马达加斯加岛森林
比较经济学,出版社,上海三联出版社
宏观经济学,类型,经济学流派
宏观经济学,别称,国民收入决定理论
黑点裸胸鳝,中文学名,黑点裸胸鳝
黑点裸胸鳝,亚门,脊椎动物亚门
黑点裸胸鳝,亚纲,辐鳍亚纲
发展经济学,作用,经济可持续发展
微软开发者网络,介绍,各种编程技巧
石油输出国组织,总部,奥地利维也纳
激进经济学,形成国家,主要在美国
雀巢公司,公司名称,雀巢公司
雀巢公司,公司性质,跨国公司
价格经济,诞生于,公元前七世纪时
罪恶装备,制作人,石渡太輔
罪恶装备,编剧,石渡太辅
罪恶装备,音乐,石渡太辅
罪恶装备,制作人,石渡太輔
罪恶装备,编剧,石渡太辅
罪恶装备,音乐,石渡太辅
集体合同规定,部门,劳动和社会保障部
无因管理,性质,自发性的行为
四川牛筋片,辅料,桂皮桂皮
罪恶装备,制作人,石渡太輔
罪恶装备,编剧,石渡太辅
罪恶装备,音乐,石渡太辅
艾尔盖姆,宗教信仰,伊斯兰教
夏威夷蜗牛,中文学名,夏威夷蜗牛
匈牙利维兹拉犬,中文学名,匈牙利维兹拉犬
艾尔盖姆会,创始人,穆罕默德
最低工资规定,审核部门,劳动和社会保障部
天津市实验中学,校训,实事求是
天津市实验中学,所属地区,中国天津市
天津市实验中学,类别,公办完全中学
天津市实验中学,主要奖项,全球先进孔子课堂
天津市实验中学,主管部门,天津市教育局
闽西八大干,口味,风味特色
保定职业技术学院,类别,公立大学
保定职业技术学院,主管部门,河北省人民政府
艾格麦尔清真寺,地址,开罗贾马利亚区
多背一公斤,性质,公益活动
中华多刺鱼,中文学名,中华多刺鱼
中华多刺鱼,亚门,脊椎动物亚门
中华多刺鱼,亚纲,硬骨鱼亚纲
艾哈卡姆,书名,艾哈卡姆
艾哈卡姆,作者,穆斯泰哈卜
艾哈卡姆,语言,阿拉伯语
血液崇拜,象征意义,生命的象征
血液崇拜,弊端,传播血液疾病
瑶族长鼓,类别,瑶族拍击膜鸣乐器
鳞烟管鱼,中文学名,鳞烟管鱼
鳞烟管鱼,亚门,脊椎动物亚门
鳞烟管鱼,亚纲,辐鳍亚纲
艾哈迈德,居住地,埃及开罗
狂徒创作群,团队名称,狂徒创作群
狂徒创作群,行业类别,游戏制作
日本海马,中文学名,日本海马
哈尔滨商业大学,类别,公立大学
哈尔滨商业大学,所属地区,黑龙江省哈尔滨市
哈尔滨商业大学,主管部门,黑龙江省人民政府
艾哈迈德墓碑,特点,双面雕刻
锦江之星,公司名称,锦江之星
锦江之星,经营范围,快捷酒店
兰州太平鼓,申报地区,甘肃省兰州市
兰州太平鼓,遗产类别,传统舞蹈
田螺姑娘,神话体系,福州民间传说人物
田螺姑娘,所属,中国民间神话
国际麻风节,别称,国际麻风节
国际麻风节,设立机构,世界卫生组织
艾哈迈德三世,国籍,奥斯曼帝国
艾哈迈德三世,民族,西突厥乌古斯人
艾哈迈德三世,职业,第二十三任素丹
艾哈迈德三世,信仰,伊斯兰教
东非大裂谷,别称,东非裂谷带
法兰克福,别名,美因河畔法兰克福
法兰克福,所属地区,德国黑森州
法兰克福,气候条件,温带海洋性气候
法兰克福,机场,法兰克福国际机场
法兰克福,知名院校,法兰克福大学
浙江近代物理中心,类型,近代物理中心
神州数码,公司口号,中国智慧城市专家
神州数码,公司理念,数字化中国
神州数码,公司战略,智慧城市
农民起义,实质,阶级斗争
农民起义,主体,农民阶级
农民起义,代表,大泽乡起义
精灵宝可梦,编剧,石原恒和
罗得西亚背脊犬,别名,非洲狮子犬
罗得西亚背脊犬,品种,嗅觉猎犬
艾哈迈德一世,别名,艾哈迈德一世
艾哈迈德一世,国籍,奥斯曼帝国
艾哈迈德一世,民族,土耳其人
艾哈迈德一世,信仰,伊斯兰教
艾哈迈德一世,历任,第十四任
艾哈迈德一世,父亲,穆罕默德三世
网络工程师,类别,网络技术人员
巴洛克建筑,起源于,意大利罗马
艾哈迈迪清真寺,又名,马伊丹清真寺
艾哈迈迪耶的论证,书名,艾哈迈迪耶的论证
艾哈迈迪耶的论证,作者,艾哈迈迪耶
短鳍红娘鱼,中文学名,短鳍红娘鱼
短鳍红娘鱼,亚门,脊椎动物亚门
短鳍红娘鱼,亚纲,辐鳍亚纲
乳糖操纵子,相关学说,操纵子学说
又红又专,出处,关于农业问题
明代医事制度,组成,四个部分
艾季纳代因战役,名称,艾季纳代因战役
艾季纳代因战役,地点,艾季纳代因地区
艾季纳代因战役,主要指挥官,伊斯兰教首任哈里
世界旅游组织,总部,西班牙马德里
世界旅游组织,地位,联合国专门机构
艾勒哈卜拉宫,别名,阿尔汗布拉宫
阆中福音堂,级别,省级文物保护单位
文德皇后,字号,小字观音婢
文德皇后,谥号,文德皇后
文德皇后,追封,文德顺圣皇后
文德皇后,养女,豫章公主
知识青年,广义,泛指有知识的青年
英国蹲猎犬,中文学名,英国蹲猎犬
英国蹲猎犬,亚门,脊椎动物亚门
英国蹲猎犬,亚纲,真兽亚纲
英国蹲猎犬,亚目,裂脚亚目
嫘祖故里,性质,中国上古神话人物
嫘祖故里,出生于,西陵一说
松江鲈鱼,中文学名,松江鲈鱼
松江鲈鱼,亚门,脊椎动物亚门
松江鲈鱼,亚目,杜父鱼亚目
绿林赤眉起义,名称,绿林赤眉起义
绿林赤眉起义,时间,西汉末年
破六韩拔陵起义,起义方,北魏沃野镇人
破六韩拔陵起义,目的,反抗北魏王朝统治
反恐精英,所属系列,反恐精英
反恐精英,媒介,网络下载
五虎上将,所处时代,汉末三国时期
五虎上将,主要成就,建立蜀汉势力
黄巾起义,名称,黄巾起义
黄巾起义,时间,东汉末年
黄巾起义,结果,黄巾军败亡
绿鳍马面鲀,中文学名,绿鳍马面鲀
莫折大提起义,领导人,羌人莫折大提
莫折大提起义,地区,关陇地区
绿林赤眉起义,名称,绿林赤眉起义
绿林赤眉起义,时间,西汉末年
赵广起义,名称,赵广起义
赵广起义,时间,宋元嘉九年
赵广起义,参战方,宋朝廷和起义军
赵广起义,结果,反宋失败
赵广起义,主要指挥官,蜀人赵广等
杜洛周起义,名称,杜洛周起义
杜洛周起义,时间,北魏孝昌元年
窦建德起义,出生地,贝州漳南
瓦岗寨起义,时间,大业七年
瓦岗寨起义,地点,今滑县瓦岗寨乡
崇武古城,机场,泉州晋江国际机场
崇武古城,所属城市,福建省泉州市
温州市第十七中学,简称,温十七中
温州市第十七中学,所属地区,浙江省温州市
庞勋起义,名称,庞勋起义
裘甫起义,地点,浙东一带
阡能起义,地区,今四川邛崃
阡能起义,类型,聚众发动起义
松杉灵芝,中文学名,松杉灵芝
松杉灵芝,亚纲,同担子菌亚纲
宋江起义,地点,山东省梁山
红巾军抗金起义,发生背景,南宋军民抗金战争
死灵法师,民族,天灾军团
死灵法师,信仰,黑暗之神
黄巢起义,名称,黄巢起义
魏胜抗金起义,性质,城邑防御战
九龙江山,地理位置,杨村河柏塱村河段
古州苗民起义,名称,古州苗民起义
古州苗民起义,结果,清军获胜
明末农民起义,时间,天启七年
中国金柑之乡,所属地区,中国华东
十方普觉寺,始建年代,唐贞观年间
天理教之乱,名称,天理教之乱
川楚白莲教乱,名称,川楚白莲教乱
川楚白莲教乱,地点,川楚陕地区
川楚白莲教乱,时间,嘉庆元年
上山下乡,参与人物,知识青年
太平天国运动,运动高峰,定都天京前后
广义相对论,应用学科,现代物理学
事件视界,概念,黑洞最外层的边界
事件视界,别名,事象地平面
捻军起义,地点,安徽省雉河集
葫芦兄弟,类型,国产动画片
葫芦兄弟,地区,中国大陆
拉扎云雀,中文学名,拉扎云雀
元阳梯田,气候类型,亚热带和温带
元阳梯田,所属城市,云南省元阳县
宇宙背景辐射,性质,微波辐射
光学望远镜,用途,天体测量
光学望远镜,著名型号,胡克望远镜
劳动异化,类别,马克思的异化观
狭义相对论,别称,特殊相对论
奶油炸糕,分类,北京小吃
奶油炸糕,口味,香浓美味
太原工业学院,类别,公立大学
太原工业学院,属性,省属高等院校
太原工业学院,主管部门,山西省人民政府
太原工业学院,发展定位,应用型工业大学
热力学第二定律,别称,熵增加原理
北京服装学院,类别,公立大学
北京服装学院,属性,市属本科高等院校
北京服装学院,所属地区,中国北京
北京服装学院,主管部门,北京市人民政府
北京服装学院,校训,弘毅日新衣锦天下
宇宙恒稳态理论,用途,宇宙探索
馓子麻花,来自,北京清真
四大名捕,制片地区,中国大陆
吉卜力工作室,公司名称,吉卜力工作室
吉卜力工作室,公司性质,株式会社
组合机床,组成,通用部件等
组合机床,应用,机械加工等
组合机床,学科,机械工程
硬毛维兹拉犬,中文学名,硬毛维兹拉犬
水磨石井盖,材料,水泥和石子
水磨石井盖,类型,新型环保产品
河南牧业经济学院,简称,河南牧院
河南牧业经济学院,类别,公立大学
河南牧业经济学院,属性,省属本科高校
河南牧业经济学院,所属地区,中国河南省郑州市
河南牧业经济学院,主管部门,河南省人民政府
全职猎人,作者,富坚义博
全职猎人,其他出版社,东立出版社
草帽海贼团,逝世成员,黄金梅丽号
草帽海贼团,旗下附属,草帽大船团
藤岛康介,职业,当代漫画家
四川腊肉,口味,烟熏的香美味道
硬毛指示格里芬犬,中文学名,硬毛指示格里芬犬
牧场物语,游戏类型,模拟经营类
九字真言,又名,六甲秘祝
九字真言,手印,道教手印
九字真言,含义,道家咒语
数控铣床,类别,精密仪器
数控铣床,属性,自动加工设备
鸡茸玉米汤,主要原料,鸡胸脯肉
五大连池风景区,气候类型,寒温带大陆性气候
五大连池风景区,美誉,中国著名火山之乡
煎饼馃子,类别,油炸食品
煎饼馃子,历史,一百余年
企业年检,年检依据,企业年度检验办法
艺伎回忆录,其它译名,艺妓回忆录
艺伎回忆录,出品公司,哥伦比亚影业公司
艺伎回忆录,发行公司,索尼电影娱乐公司
指示猎犬,中文学名,指示猎犬
寿山石雕,申报地区,福建省福州市
马拉维湖,别称,尼亚萨湖
马拉维湖,位置,非洲东南部
燃气轮机,类别,热力发动机
燃气轮机,工作方式,连续流动
燃气轮机,别称,燃气涡轮发动机
彼斯奎氏鹦鹉,中文学名,彼斯奎氏鹦鹉
彼斯奎氏鹦鹉,别称,派斯奎特氏鹦鹉
彼斯奎氏鹦鹉,亚门,脊椎动物亚门
彼斯奎氏鹦鹉,亚纲,今鸟亚纲
拜占庭帝国,首都,君士坦丁堡
拜占庭帝国,货币,索利都斯
拜占庭帝国,政治体制,君主专制政体
一生一世,发行公司,英皇电影
常州大学,类别,公立大学
常州大学,属性,省属重点本科高校
常州大学,所属地区,江苏省常州市
常州大学,主管部门,江苏省人民政府
蜀犬吠日,解释,比喻少见多怪
一百单八将,人数,一百零八人
一百单八将,背景年代,北宋末年
伯克氏草原鹦鹉,中文学名,伯克氏草原鹦鹉
伯克氏草原鹦鹉,别称,秋草鹦鹉
津味嘎巴菜,分类,天津小吃
圣彼得堡,政府驻地,斯莫尔尼宫
圣彼得堡,地理位置,涅瓦河口三角洲
圣彼得堡,气候条件,温带大陆性气候
火鞭牛肉,功效,补肾壮阳
托卡马克,技术类别,可控核聚变装置
制冷设备,应用最广,蒸气压缩制冷
运城学院,类别,公立大学
运城学院,属性,普通本科院校
运城学院,校训,立德有为
八一建军节,节日时间,八月一日
八一建军节,节日类型,传统节日
八一建军节,流行地区,中国大陆
物位测量仪表,原理,连通器原理
长嘴凤头鹦鹉,中文学名,长嘴凤头鹦鹉
光学显微镜,原理,光学原理
深低温设备,又称,深度冷冻设备
山西大学工程学院,类别,公立大学
山西大学工程学院,所属地区,山西太原
郑州市第七中学,简称,郑州七中
郑州市第七中学,类别,公立中学
郑州市第七中学,所属地区,中国郑州
郑州市第七中学,主要奖项,河南省示范性高中
八仙过海,作品名称,八仙过海
八仙过海,文学体裁,神话故事
山东地下大峡谷,气候类型,温带季风气候
山东地下大峡谷,所属城市,山东省临沂市
物料搬运机械,性质,机械设备
同步辐射,类别,电磁辐射
同步辐射,相关学科,物理技术
气相色谱,出现时间,二十世纪五十年代
刁蛮公主,出品公司,广东巨星影业公司
刁蛮公主,制片地区,中国大陆
刁蛮公主,拍摄地点,无锡影视基地
能源危机,导致后果,经济衰退
网络创业,基础,网站运营
网络创业,分类,一种创业形式
凯恩斯主义,提出时间,二十世纪初
西安交通大学,类别,公立大学
西安交通大学,所属地区,中国西安
西安交通大学,发展定位,世界一流大学
摩尼教草庵,得名原因,古因草构
埃弗顿足球俱乐部,中文队名,埃弗顿足球俱乐部
埃弗顿足球俱乐部,所属地区,英格兰利物浦
埃弗顿足球俱乐部,主场馆,古迪逊公园球场
埃弗顿足球俱乐部,球衣广告,肯亚博彩
酒泉卫星发射中心,简称,东风航天城
酒泉卫星发射中心,著名景点,东风革命烈士陵园
